generatorInfidelity,trueInfidelity,estimatedInfidelity,estimatedError,delta1,delta2
0.00005664802277479845,0.00011206065640895213,0.00007057956639960894,0.00006285161352431734,0.03789141150325306,0.026165893465457547
0.003519734701399349,0.008044124644500994,0.007838408165577793,0.0007538064115399923,0.33583653777819006,0.23192855492520606
0.003713128948522778,0.007511586734846587,0.007872972234540143,0.0010244077476163072,0.36828970564020064,0.2341627843537233
0.000026923063943924936,0.000056531759788980285,0.00008921944182954666,0.000011659492625659684,0.03772620616470867,0.021532638055773937
0.0006748926787081543,0.0016718468799470365,0.0016985249042024697,0.00012229411888486919,0.16315664712033776,0.10148542804737308
0.000013472817584581585,0.000040029491757131996,0.00003276027330828546,0.000013647473053657322,0.02225175294037903,0.015098924263014348
0.0001485385113494127,0.00016897498676587963,0.00011643961036256201,0.00005139860679131969,0.05923721996108264,0.03970773747235988
0.009173859018645677,0.019514944142500823,0.01993784109922464,0.0036827009747216755,0.5510845781997982,0.34146078695489107
0.0017795171376926953,0.004080871780598794,0.004400773854847273,0.0005179867369095037,0.2963862157370061,0.18635199700705887
0.00007373231231595998,0.0001590251414579913,0.00009449286970897308,0.00006127012211293303,0.052309872046346004,0.03388577528849434
0.00007343983090168826,0.00019548411334574523,0.0002465536979692762,0.00003346675181314929,0.06241864832905117,0.04092154364658867
0.00007196648709148415,0.00020729914218503565,0.00022028005749402668,0.00006653297509640055,0.039853087882889424,0.03285241439328931
0.0008227763350099563,0.0017165632170721423,0.0016721079079858314,0.00015106137227932637,0.19650992924949878,0.1279859758915909
0.00024741048294666334,0.0006078383460694226,0.0006812154063538522,0.0000735322950314865,0.12020212129184658,0.06759231755195248
0.00014753667215419158,0.00020974108086729837,0.00018142847997199008,0.00003051608473769729,0.07094887899543818,0.04202788669012717
0.00031838784667690166,0.0007340475120992118,0.0007781762687354976,0.0000704701806992225,0.08524121528418854,0.0545979144758268
0.00013523146923875024,0.00022241673819600738,0.00018914145136511573,0.00001891530382552853,0.07543827334861195,0.04579050668944459
0.008406868010113436,0.014751277947864516,0.014845816770196418,0.0033876127383774546,0.536708853939794,0.3562684234828262
0.000020871601822782338,0.00003578363537221074,0.00010443755091688045,0.0000311536502227705,0.027364474654851957,0.017746816113993927
0.00003565634784277361,0.00007644963522213111,0.000038006245174970754,0.00007793378641712811,0.03467002682091495,0.023723158129585035
0.00011149268852418742,0.00018342537938154102,0.00020809205384381135,0.000054166784757614383,0.06407132798638808,0.04203471203592526
0.002520365507523974,0.003994135670868926,0.0035866988145808465,0.00032914063186734177,0.36405026896947873,0.1883833335004226
0.000013177084820759927,0.00003562891813996272,0.00002028029705058998,0.0000450246908487717,0.020746251469772527,0.013571722128834465
0.0001421188304358038,0.0003413400849586745,0.00047435465579998004,0.00008773245255405682,0.07529465481474047,0.04768491514846999
0.00008857249640695613,0.0001341175860844479,0.0001096213707915128,0.00003730289110087659,0.05346577741236997,0.03694535056320127
0.00004270865296966014,0.00012172786690456405,0.00011500780393458587,0.00005443788374964731,0.03265609335251486,0.020119490263572043
0.000018354798032699003,0.00004412679026194466,0.00007084735058543457,3.6519449840843876e-6,0.02686088782362684,0.02028643702758016
0.0025851257337845264,0.00683931070725835,0.0064222588791424395,0.0007981804961748606,0.3519235266424522,0.2445652596600598
0.0006135700392466225,0.0009054386367384204,0.0009329312443920323,0.00012423860906990436,0.15693872095612768,0.09835608603108321
0.00011144438767190605,0.00020705522058944714,0.00023855884737772337,0.00003296622422138684,0.04672425324812023,0.027451384150580026
